Category,Name,Net weight,Price
"Chilled","President Unsalted | 200g","200",445
"Chilled","President Toast Emmental Slices | 200g 10pcs","200",320
"Chilled","President Skimmed Milk 0.1% | 1L","1",209
"Chilled","President Salted Butter | 200g","200",445
"Chilled","President Light Cheese Slices | 200g 10pcs","200",334
"Chilled","President Cooking Cream | 500ml","500",346
"Chilled","President Cheddar Sandwch Slices | 200g 10pcs","200",334
"Chilled","President Cheddar Burger Slices | 200g 10pcs","200",320
"Chilled","President Ambassador Unsalted Butter Blend | 200g","200",205
"Chilled","President Ambassador Salted Butter | 200g","200",205
"Chilled","Nestle Chuckie For P110.00 | 250ml 4pcs","250",110
"Chilled","Lurpak Butter Salted | 8g","8",112
"Chilled","Vitamilk Double Choco | 1L","1",100
"Chilled","Magnolia Chocolait | 1L","1",114.5
"Chilled","Magnolia Chocolait | 200ml 4pcs","200",97.5
"Chilled","Nestle Milo RTD | 180ml","180",28.5
"Chilled","Alaska Slim Low-Fat Milk | 1L","1",109.5
"Chilled","Nan Optipro HW Three Formula Milk 1-3 Years Old | 2.1kg","2.1",3094.5
"Chilled","Birch Tree Fortified Milk | 700g pouch","700",195.5
"Chilled","Birch Tree Fortified Milk | 300g","300",96
"Chilled","Cow Bell Evapsarap | 360ml","360",30.5
"Chilled","EV Cream Regular Chocolate | 100g","100",49
"Chilled","Emborg Sour Cream | 250g","250",289
"Chilled","Binggrae Melona Ice Bar Pistachio | 70ml 8pcs","70",218.5
"Chilled","Fairys Cone Cup | 18pcs","18",43.5
"Chilled","Fairys Cone Sugar | 12pcs","12",49.5
"Chilled","Zesto Uht Choco | 110ml","110",15.5
"Chilled","Zest-O Choco TBA Slim | 250ml","250",31.5
"Chilled","Vitasoy The Soy Experts Plus Original | 1L","1",104.5
"Chilled","Vitasoy Chocolate | 1L","1",104.5
"Chilled","Vitasoy The Soy Experts Plus Original | 300ml","300",29.5
"Chilled","Vitasoy Chocolate | 330ml","330",29.5
"Chilled","Vitamilk Energy | 300ml","300",32.95
"Chilled","Vitamilk Regular | 300ml","300",32.95
"Chilled","Vitamilk Soya Drink Choco Shake | 300mL","300",32.95
"Chilled","Vitamilk Soya Drink Double Choco | 300mL","300",32.95
"Chilled","Selecta Moo Choco | 90ml 4pcs","90",84.5
"Chilled","Selecta MOO Chocolate Milk Drink Choco | 245mL","245",33.5
"Chilled","Selecta Sterilized | 1L","1",96.5
"Chilled","Selecta Fortified Choco | 1L","1",104.5
"Chilled","Selecta Fortified Milk | 1L","1",90
"Chilled","Selecta Fortified Low Fat Milk | 1L","1",109.95
"Chilled","Nestle Non-Fat Milk | 1L","1",119.5
"Chilled","Nestle Low Fat Milk | 1L","1",119.5
"Chilled","Chuckie Chocolate Milk Drink | 1L","1",115
"Chilled","Chuckie Chocolate Milk Drink | 110mL","110",14.5
"Chilled","Magnolia Non Fat Milk | 1L","1",119.5
"Chilled","Magnolia Low Fat Milk | 1L","1",119.5
"Chilled","Magnolia Full Cream Milk | 1L","1",114.5
"Chilled","Magnolia Chocolait | 250ml","250",33.5
"Chilled","Magnolia Chocolait | 110ml","110",14
"Chilled","Dutch Mill Yoghurt Drink Strawberry | 90mL","90",12.5
"Chilled","Dutch Mill UHT Orange | 90ml","90",12.5
"Chilled","Dutch Mill Mixed Berries | 90ml","90",12.5
"Chilled","Dutch Mill Yoghurt Drink Blueberry | 90mL","90",12.5
"Chilled","Dutch Mill Yoghurt Drink Mixed Fruit | 180mL","180",21.5
"Chilled","Dutch Mill Yoghurt Drink Orange | 180ml","180",21.5
"Chilled","Dutch Mill Yoghurt Drink Blueberry | 180mL","180",21.5
"Chilled","Dutch Mill Yoghurt Drink Mixed Berries | 180mL","180",21.5
"Chilled","Dutch Mill Yoghurt Drink Strawberry | 180ml","180",21.5
"Chilled","Devondale Full Cream Milk | 1L","1",124.5
"Chilled","Cowhead Pure Milk | 200ml","200",42.5
"Chilled","Cowhead Lite Milk | 200ml","200",45
"Chilled","Cowhead Premium Chocolate Milk | 250mL","250",45
"Chilled","Cowhead Lite Milk | 1L","1",116.5
"Chilled","Cowhead Premium Chocolate Milk | 1L","1",134.5
"Chilled","Bear Brand Sterilized | 1L","1",107.5
"Chilled","Anchor UHT Low Fat | 1L","1",127.5
"Chilled","Anchor Full Cream Milk UHT | 1L","1",127.5
"Chilled","Ensure Gold Powdered Milk Drink Choco | 850g","850",2194.5
"Chilled","Anmum Materna Mocha Latte | 375g","375",434.5
"Chilled","Anmum Choco | 375g","375",434.5
"Chilled","Anlene Chocolate | 300g","300",184.5
"Chilled","Anlene Plain | 300g","300",184.5
"Chilled","Anlene Movemax Plain | 600g","600",349.5
"Chilled","Similac Gain Plus Three Milk Supplement | 1.8kg","1.8",2564.5
"Chilled","Promil S-26 Three Milk Supplement | 1.8kg","1.8",2012.5
"Chilled","Promil S26 Gold Three Milk Supplement | 1.8kg","1.8",2482.5
"Chilled","Promil Four Powdered Milk Drink | 1.8kg","1.8",1709.5
"Chilled","Promil Gold Four Powdered Milk Drink | 1.8kg","1.8",2104.5
"Chilled","PediaSure Plus Milk Drink Classic Vanilla Above 3 years old | 1.8kg","1.8",2624.5
"Chilled","Nido Advanced Protectus 5+ | 1.2kg","1.2",829.5
"Chilled","Nido Advanced Protectus 3+ | 1.6kg","1.6",999.5
"Chilled","Nido 1+ Jr 1-3 years old | 1.6kg","1.6",1009.5
"Chilled","Nestogen 3 Milk Supplement 1-3 years old | 1.3kg","1.3",719.5
"Chilled","Nan Kid Optipro Four Powdered Milk For Children Above 3 Years Old | 1.3kg","1.3",1594.5
"Chilled","Nan Optipro HW Three Formula Milk 1-3 years old | 1.8kg","1.8",2149.5
"Chilled","Nan Optipro HW Three Formula Milk 1-3 years old | 1.3kg","1.3",1669.5
"Chilled","Nan Optipro HW Three Formula Milk 1-3 years old | 1.4kg","1.4",2349.5
"Chilled","Lactum 3+ Vanilla | 1.5kg","1.5",1014.5
"Chilled","Lactum Vanilla 3 years and up | 1.15kg","1.15",829.5
"Chilled","Lactum 1+ Vanilla Formula Milk 1-3 years old | 2kg","2",1284.5
