Category,Name,Net weight,Price
"Bakery","SM Bonus Marshmallows Mini | 200g","200",54.5
"Bakery","SM Bonus Marshmallows | 80g","80",21
"Bakery","SM Bonus Marshmallows | 200g","200",51.5
"Bakery","SM Bonus Desiccated Coconut | 150g","150",32.5
"Bakery","SM Bonus Pure Cornstarch | 200g","200",21.5
"Bakery","SM Bonus Hotcake Mix | 500g","500",59.5
"Bakery","SM Bonus All Purpose Flour | 400g","400",43.5
"Bakery","SM Bonus All Purpose Flour | 200g","200",26.5
"Bakery","SM Bonus All Purpose Flour | 1kg","1",93.5
"Bakery","Suncrest Cupp Keyk Flavor Combo | 33g 10pcs","33",76.5
"Bakery","Suncrest Choco Topps Cupp Keyk | 35g 10pcs","35",89.5
"Bakery","Suncrest Whoopie Marshmllow Cake G | 35g 10pcs","35",107.5
"Bakery","Suncrest Dowee Donut Assorted | 40g 10pcs","40",116.5
"Bakery","Suncrest Fudgee Bar Salted Caramel | 38g 10pcs","38",92.5
"Bakery","Suncrest Fudgee Bar Vanilla G | 42g 10pcs","42",92.5
"Bakery","Fudgee Bar Dark Choco | 38g 10pcs","38",92.5
"Bakery","Suncrest Fudgee Bar Macapuno G | 42g 10pcs","42",92.5
"Bakery","SUNCREST FUDGEE BAR MILKY 42G (10 PCS)","42",92.5
"Bakery","Regent Belgian Waffle | 30g 10pcs","30",124.5
"Bakery","Regent Mochi Glutinous Rice Cake | 240g","240",76.5
"Bakery","Regent Cake Assorted | 20g 10pcs","20",81.5
"Bakery","Quake Choco Bar Choco Filing | 38g 10pcs","38",86.5
"Bakery","Quake Choco Bar Vanilla Filling | 38g 10pcs","38",86.5
"Bakery","Quake Overload Choco Straberry | 33g 10pcs","33",94.5
"Bakery","Quake Overload Black Forest | 330g 10pcs","330",94.5
"Bakery","Quake Overload Mocha | 33g 10pcs","33",94.5
"Bakery","Monde Special Mamon with Vanilla Filled | 48g 4pcs","48",86.5
"Bakery","Monde Special Mamon Choco Filled | 48g 4pcs","48",86.5
"Bakery","Monde Special Mamon w/ Strawberry Filling | 48g 4pcs","48",86.5
"Bakery","Lemon Square Choochoo Cake Pies | 38g 10pcs","38",102.5
"Bakery","Lemon Square Wattatops Mango Graham | 35g 10pcs","35",92.5
"Bakery","Lemon Square Wattatops Cookies& Cream | 36g 10pcs","36",92.5
"Bakery","Lemon Square Wattatops Choco | 35g 10pcs","35",92.5
"Bakery","Lemon Square Fun Square Butter Scotch | 30g 10pcs","30",99.5
"Bakery","Lemon Square Lava Cake | 40g 10pcs","40",89.5
"Bakery","Tian Seng Special Tikoy Ube | 150g","150",46
"Bakery","White King Bibingka | 500g","500",116.5
"Bakery","Tiffany Ube Ball | 250g","250",53
"Bakery","Tian Seng Tikoy Sesame | 150g","150",46
"Bakery","Tian Seng Tikoy Pandan | 150g","150",46
"Bakery","Tian Seng Tikoy Mongo | 150g","150",46
"Bakery","Tian Seng Hopia Dice Ube | 150g","150",43
"Bakery","Tian Seng Hopia Ube | 150g","150",43
"Bakery","Tian Seng Tikoy Ube | 150g","150",46
"Bakery","Tian Seng Tikoy Peanut | 150g","150",46
"Bakery","Royal Dansk Cookie Assorted | 454g","454",364.5
"Bakery","Regent Belgian Chocolate Waffle | 300g","300",124.5
"Bakery","Mochi Peanut Flavor | 240g","240",89.5
"Bakery","Mochi Black Sesame | 240g","240",89.5
"Bakery","Maya Hotcake Mix Fluffy N Tasty | 350g","350",54.5
